,Year,Company,City,State,Title,Salary Level,Area,Total Annual Compensation,Years of Experience,Years at Company,Base Salary,Stock Grant Value,Bonus,Masters Degree,Bachelors Degree,Doctorate Degree,Highschool,Some College
156,2020,Amazon,Seattle, WA,Business Analyst,1,Operations,106000,5,1.0,90000,10000,6000,0,0,0,0,0
157,2020,Amazon,Seattle, WA,Business Analyst,1,Analytic,120000,2,2.0,90000,20000,10000,1,0,0,0,0
158,2021,Autodesk,San Francisco, CA,Business Analyst,1,Finance,99000,5,2.0,90000,0,9000,0,0,0,0,0
159,2021,BNP Paribas,New York, NY,Business Analyst,1,General,123000,1,1.0,90000,0,33000,0,1,0,0,0
160,2021,Boeing,Mesa, AZ,Business Analyst,1,Infrastructure,90000,3,2.0,90000,0,2000,0,0,0,0,0
161,2020,Capital One,Washington, DC,Business Analyst,1,Web Development (Front-End),96000,0,0.0,90000,0,6000,0,0,0,0,0
162,2020,Goldman Sachs,New York, NY,Business Analyst,1,Research,135000,3,1.0,90000,0,45000,0,0,0,0,0
163,2021,Google,Ireland, IN,Business Analyst,1,Finance,135000,7,4.0,90000,25000,20000,1,0,0,0,0
164,2020,IBM,Dallas, TX,Business Analyst,1,Infrastructure,100000,4,1.0,90000,1000,9000,0,0,0,0,0
165,2020,Indeed,San Francisco, CA,Business Analyst,1,Growth,104000,1,1.0,90000,0,14000,0,1,0,0,0
166,2020,Morningstar,Chicago, IL,Business Analyst,1,Research,110000,7,7.0,90000,10000,5000,0,0,0,0,0
167,2020,Oracle,Madrid, MD,Business Analyst,1,Analytic,90000,25,20.0,90000,0,0,0,1,0,0,0
168,2021,Vimeo,New York, NY,Business Analyst,1,General,104000,4,2.0,90000,10000,4000,0,1,0,0,0
169,2020,Wells Fargo,San Francisco, CA,Business Analyst,1,iOS,90000,6,1.0,90000,0,0,0,0,0,0,0
170,2021,Capital One,Washington, DC,Business Analyst,1,General,100000,1,1.0,92000,0,8000,0,1,0,0,0
171,2020,Amazon,Seattle, WA,Business Analyst,1,Operations,122000,5,0.0,93000,15000,14000,1,0,0,0,0
172,2021,Citi,Wilmington, DE,Business Analyst,1,fraud analyst,95000,2,2.0,93000,0,2000,1,0,0,0,0
173,2020,Infosys,Atlanta, GA,Business Analyst,1,Analytic,95000,12,12.0,93000,0,2000,1,0,0,0,0
174,2021,Microsoft,Redmond, WA,Business Analyst,1,General,101000,0,0.0,93000,3000,5000,0,1,0,0,0
175,2021,Splunk,San Francisco, CA,Business Analyst,1,Cloud,121000,3,2.0,93000,20000,10000,1,0,0,0,0
176,2021,Uber,New York, NY,Business Analyst,1,Operations,109000,5,2.0,93000,10000,10000,0,1,0,0,0
177,2020,Yelp,San Francisco, CA,Business Analyst,1,Internal,110000,2,0.0,93000,15000,3000,0,1,0,0,0
178,2021,AIG,Los Angeles, CA,Business Analyst,1,GENERAL,102000,11,2.0,94000,0,8000,1,0,0,0,0
179,2021,Amazon,Tempe, AZ,Business Analyst,1,Supply chain,125000,4,0.0,94000,7000,24000,0,0,0,0,0
180,2020,BCG,Atlanta, GA,Business Analyst,1,Product,119000,5,3.0,94000,0,25000,0,0,0,0,0
181,2021,IBM,Atlanta, GA,Business Analyst,1,Analytic,94000,2,2.0,94000,0,0,0,1,0,0,0
182,2021,Procore Technologies,Carpinteria, CA,Business Analyst,1,Business Intelligence Analyst,94000,5,2.0,94000,0,0,0,0,0,0,0
183,2020,Vimeo,New York, NY,Business Analyst,1,Sales Ops,99000,5,1.0,94000,0,5000,0,0,0,0,0
184,2021,Zulily,Seattle, WA,Business Analyst,1,Supply Chain,99000,3,1.0,94000,0,5000,0,1,0,0,0
185,2021,Accenture,New York, NY,Business Analyst,1,General,100000,2,2.0,95000,0,5000,0,0,0,0,0
186,2020,Amazon,Seattle, WA,Business Analyst,1,Analytic,130000,5,0.0,95000,30000,3000,1,0,0,0,0
187,2021,Comcast,Philadelphia, PA,Business Analyst,1,Data Analytics,103000,6,5.0,95000,3000,5000,1,0,0,0,0
188,2020,Comcast,Philadelphia, PA,Business Analyst,1,Analytic,110000,5,3.0,95000,10000,5000,1,0,0,0,0
189,2020,Goldman Sachs,New York, NY,Business Analyst,1,Private Equity,130000,2,2.0,95000,0,35000,0,0,0,0,0
190,2021,Goldman Sachs,New York, NY,Business Analyst,1,Asset Management,125000,1,1.0,95000,0,30000,0,0,0,0,0
191,2021,Grubhub,Chicago, IL,Business Analyst,1,,95000,6,3.0,95000,0,0,0,0,0,0,0
192,2020,Intuit,San Francisco, CA,Business Analyst,1,Analytics,110000,1,1.0,95000,0,15000,0,0,0,0,0
193,2021,JP Morgan Chase,Dallas, TX,Business Analyst,1,Product,102000,5,3.0,95000,0,7000,0,0,0,0,0
194,2020,Kaiser Permanente,Oakland, CA,Business Analyst,1,Analytic,102000,3,3.0,95000,0,7000,0,1,0,0,0
195,2020,Ultimate Software,Weston, FL,Business Analyst,1,Product,100000,5,2.0,95000,5000,0,0,1,0,0,0
196,2020,Wells Fargo,Charlotte, NC,Business Analyst,1,Analytic,95000,6,2.0,95000,5000,0,0,1,0,0,0
197,2020,Boeing,Arlington, VA,Business Analyst,1,Growth,96000,6,6.0,96000,0,0,1,0,0,0,0
198,2020,Capital One,New York, NY,Business Analyst,1,Analytic,102000,1,1.0,96000,2000,4000,0,1,0,0,0
199,2021,Adobe,San Francisco, CA,Business Analyst,1,Sales Operations,125000,2,2.0,97000,18000,10000,0,1,0,0,0
200,2020,Maxim Integrated,San Jose, CA,Business Analyst,1,Supply Chain,107000,5,2.0,97000,0,10000,1,0,0,0,0
201,2020,Mphasis,New York, NY,Business Analyst,1,Product,97000,17,13.0,97000,0,0,1,0,0,0,0
202,2021,Expedia,Seattle, WA,Business Analyst,1,Data,121000,0,0.0,98000,10000,13000,0,1,0,0,0
203,2020,Facebook,Austin, TX,Business Analyst,1,Operations,116000,3,0.0,98000,9000,10000,0,1,0,0,0
204,2021,Facebook,Austin, TX,Business Analyst,1,Ads,126000,5,4.0,98000,13000,15000,0,0,0,0,0
205,2021,Lyft,Seattle, WA,Business Analyst,1,Product,138000,5,0.0,98000,35000,5000,0,0,0,0,0
206,2021,Lyft,Seattle, WA,Business Analyst,1,Product,138000,5,0.0,98000,35000,5000,0,0,0,0,0
207,2021,Siemens,Lexington, KY,Business Analyst,1,Sales,100000,3,2.0,99000,0,1000,0,1,0,0,0
208,2020,Amazon,San Francisco, CA,Business Analyst,2,iOS,150000,8,1.0,100000,20000,30000,0,0,0,0,0
209,2021,Amazon,Washington, DC,Business Analyst,2,General,125000,5,0.0,100000,15000,10000,0,1,0,0,0
210,2020,Amazon,Seattle, WA,Business Analyst,2,Data,120000,3,2.0,100000,20000,0,0,0,0,0,0
211,2021,Amazon,Seattle, WA,Business Analyst,2,Business Intelligence,129000,2,0.0,100000,17000,12000,0,0,0,0,0
212,2018,Amazon,Seattle, WA,Business Analyst,2,BI,124000,10,2.0,100000,24000,0,0,0,0,0,0
213,2021,Amazon,Seattle, WA,Business Analyst,2,Analytic,125000,5,1.0,100000,13000,10000,1,0,0,0,0
214,2020,Capital One,Washington, DC,Business Analyst,2,Product,107000,4,1.0,100000,0,7000,0,1,0,0,0
215,2020,Citi,Tampa, FL,Business Analyst,2,Operations,100000,5,0.0,100000,0,0,1,0,0,0,0
216,2021,Deloitte,Princeton, NJ,Business Analyst,2,Data,100000,4,3.0,100000,0,0,0,0,0,0,0
217,2021,DoorDash,San Francisco, CA,Business Analyst,2,Operations,117000,3,0.0,100000,17000,0,0,0,0,0,0
218,2020,Google,New York, NY,Business Analyst,2,Full Stack,100000,6,4.0,100000,0,0,0,0,0,0,0
219,2020,Google,New York, NY,Business Analyst,2,Full Stack,108000,5,5.0,100000,5000,3000,0,0,0,0,0
220,2020,Google,Palo Alto, CA,Business Analyst,2,Data,190000,1,1.0,100000,40000,50000,0,0,0,0,0
221,2020,JPMorgan Chase,Plano, TX,Business Analyst,2,Web Development (Front-End),110000,6,1.0,100000,0,10000,0,0,0,0,0
222,2021,JPMorgan Chase,New York, NY,Business Analyst,2,Sales,140000,3,3.0,100000,0,40000,0,0,0,0,0
223,2020,Microsoft,Seattle, WA,Business Analyst,2,Power BI,127000,3,0.0,100000,18000,9000,0,1,0,0,0
224,2020,PwC,Los Angeles, CA,Business Analyst,2,Financial,115000,5,5.0,100000,0,15000,1,0,0,0,0
225,2021,ServiceNow,San Diego, CA,Business Analyst,2,Operations,160000,5,5.0,100000,50000,10000,0,1,0,0,0
226,2020,Wayfair,Boston, MA,Business Analyst,2,Analytic,100000,3,0.0,100000,0,0,0,0,0,0,0
