year_column,company,city,state1,title,salary_level,area,total_annual_compensation,years_of_experience,years_at_company,base_salary,stock_grant_value,bonus
2020,Capital One,Washington, DC,Business Analyst,1,ML / AI,95000,1,1,88000,0,7000
2020,Capital One,Washington, DC,Business Analyst,1,Data,99000,0,0,88000,0,11000
2020,Capital One,Fairfax, VA,Business Analyst,1,Data,95000,0,0,88000,0,7000
2020,Capital One,Washington, DC,Business Analyst,1,Analyst,91000,0,0,88000,0,3000
2021,Deloitte,San Diego, CA,Business Analyst,1,Analytic,90000,3,1,88000,0,2000
2020,Goldman Sachs,New York, NY,Business Analyst,1,Operations,98000,1,1,88000,0,10000
2020,Quest diagnostics,Secaucus, NJ,Business Analyst,1,Analytic,90000,3,3,88000,0,2000
2021,Capital One,Richmond, VA,Business Analyst,1,Data,91000,0,0,89000,0,2000
2020,Capital One,Washington, DC,Business Analyst,1,Analytics,95000,1,1,89000,0,6000
2021,Adobe,San Jose, CA,Business Analyst,1,FP&A,112000,3,2,90000,13000,9000
2020,Amazon,Seattle, WA,Business Analyst,1,Operations,106000,5,1,90000,10000,6000
2020,Amazon,Seattle, WA,Business Analyst,1,Analytic,120000,2,2,90000,20000,10000
2021,Autodesk,San Francisco, CA,Business Analyst,1,Finance,99000,5,2,90000,0,9000
2021,BNP Paribas,New York, NY,Business Analyst,1,General,123000,1,1,90000,0,33000
2021,Boeing,Mesa, AZ,Business Analyst,1,Infrastructure,90000,3,2,90000,0,2000
2020,Capital One,Washington, DC,Business Analyst,1,Web Development (Front-End),96000,0,0,90000,0,6000
2020,Goldman Sachs,New York, NY,Business Analyst,1,Research,135000,3,1,90000,0,45000
2021,Google,Ireland, IN,Business Analyst,1,Finance,135000,7,4,90000,25000,20000
2020,IBM,Dallas, TX,Business Analyst,1,Infrastructure,100000,4,1,90000,1000,9000
2020,Indeed,San Francisco, CA,Business Analyst,1,Growth,104000,1,1,90000,0,14000
2020,Morningstar,Chicago, IL,Business Analyst,1,Research,110000,7,7,90000,10000,5000
2020,Oracle,Madrid, MD,Business Analyst,1,Analytic,90000,25,20,90000,0,0
